UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi,PARTIDUL MIȘCAREA POPULARĂ-voturi,PARTIDUL SOCIAL DEMOCRAT-voturi,PARTIDUL NAȚIONAL LIBERAL-voturi,ALIANȚA USR PLUS-voturi,PARTIDUL PRO ROMÂNIA-voturi,PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi,ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi,PARTIDUL VERDE-voturi,PARTIDUL ECOLOGIST ROMÂN-voturi,ALIANȚA RENAȘTEREA NAȚIONALĂ-voturi,PARTIDUL ROMÂNIA MARE-voturi,PARTIDUL SOCIALIST ROMÂN-voturi,PARTIDUL NOUA ROMÂNIE-voturi,PARTIDUL COMUNIȘTILOR-voturi,PARTIDUL SOCIAL DEMOCRAT AL MUNCITORILOR-voturi,PARTIDUL NOUA DREAPTĂ-voturi,PARTIDUL NAȚIUNEA ROMÂNĂ-voturi,PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi,PARTIDUL FORȚA NAȚIONALĂ-voturi,ALTERNATIVA DREAPTĂ-voturi,PARTIDUL RE:START ROMÂNIA-voturi,BLOCUL UNITĂȚII NAȚIONALE-voturi,VOLOŞENIUC ŞTEFAN-CANDIDAT INDEPENDENT-voturi
3130,4576,23058,37975,15468,3355,1233,13357,746,1269,772,622,0,0,0,0,0,0,0,0,0,0,0,-1
6823,4818,25064,30429,16204,4326,1931,15315,0,1272,2349,1035,240,573,366,995,333,0,0,0,0,0,0,-1
339,8083,74351,31647,24941,8973,1581,13558,524,1920,0,1098,1199,666,0,520,385,832,0,0,0,0,0,-1
1518,8212,58319,34638,21177,6363,2951,19992,0,3589,0,2154,2456,0,0,0,0,0,0,0,0,0,0,-1
39029,3978,35189,61830,12538,6617,1328,15712,0,1161,2322,1648,0,860,0,0,0,0,0,0,0,0,0,-1
3052,7807,24082,26194,6781,2426,1185,7645,420,957,0,0,0,0,0,0,0,0,749,0,0,0,0,-1
373,3448,45576,20764,7995,5872,1487,14931,518,977,0,1149,0,479,0,0,0,0,0,0,0,0,0,-1
8048,5830,33219,42904,43602,5790,1661,12728,1081,2991,1023,869,585,524,0,0,0,441,0,0,0,0,0,-1
294,3989,35998,14686,7992,3782,1443,9522,752,994,195,820,1002,0,0,0,0,0,0,268,0,0,0,-1
233,12020,59434,21031,11216,9350,1295,10325,0,0,0,1463,605,558,0,0,0,0,0,0,0,0,0,-1
83,2331,32893,21330,5002,2070,1130,7026,0,520,0,828,821,459,0,100,0,0,0,0,0,0,0,-1
452,4587,25244,25822,5510,3459,995,5741,0,2629,1082,499,304,236,0,0,129,0,0,0,0,0,0,-1
24521,8533,28011,66567,48339,6510,2028,12348,0,2591,2103,1184,874,877,0,0,0,0,0,0,661,0,0,-1
559,8937,47767,51638,35231,6559,2498,27289,1608,4475,0,1762,1537,1159,0,0,615,0,0,0,0,0,0,-1
39763,1020,4457,2850,2645,1528,542,1666,0,249,0,151,0,134,0,0,0,0,0,0,0,0,0,-1
400,5631,62049,32303,12379,7564,1076,10381,0,1437,654,1136,555,555,0,0,0,0,0,0,0,0,0,-1
576,10612,93914,49992,22101,7690,1756,10414,678,1843,0,899,1390,482,0,0,325,0,0,0,351,0,0,-1
720,7622,56378,34379,21079,7334,2902,15061,0,2377,635,1585,1121,0,0,0,0,0,0,0,0,0,0,-1
202,2217,25377,37087,4074,3620,418,4426,273,365,0,422,330,240,0,0,0,0,0,0,0,0,0,-1
711,5366,42816,28373,9221,6901,639,8506,1658,1197,312,788,787,440,0,0,0,0,0,0,0,0,0,-1
84097,977,4071,3085,1983,674,449,1320,0,396,0,209,0,126,0,0,0,0,0,0,0,0,0,-1
3004,4070,48790,28413,12771,6139,1209,12965,0,1862,1362,1008,648,465,0,0,0,0,0,0,0,128,0,-1
248,1608,22752,11594,4754,6062,853,7389,0,449,197,530,965,372,0,0,0,0,0,0,0,0,0,-1
515,10177,53424,50833,42018,7953,3151,26120,2283,2711,0,2105,0,1193,0,1106,0,0,0,0,494,367,0,-1
370,5242,30906,39544,27880,6804,1137,10734,1068,1114,0,632,718,429,0,325,370,0,0,0,0,0,0,-1
6069,10752,31123,33339,17300,5037,1366,9672,734,1777,670,1022,0,483,0,0,0,0,671,0,0,0,0,-1
296,7056,39095,33496,4023,3685,701,4720,0,472,328,562,708,0,0,0,171,0,0,0,0,0,0,-1
57258,6513,23351,24891,15532,5619,752,10677,817,1057,550,0,0,0,397,0,330,0,0,0,0,0,0,-1
239,5815,43638,30181,17082,5954,2224,18674,724,2270,565,0,1954,945,0,0,0,0,0,0,0,0,0,-1
273,3850,76987,26344,6904,6314,1342,7722,0,414,0,810,729,480,0,0,0,0,0,0,0,258,0,-1
770,11701,60787,55592,33397,10417,3328,0,0,6144,2728,3135,0,1696,0,0,0,0,0,0,0,0,0,-1
17236,2109,14628,19263,8696,1965,524,4521,0,573,742,375,0,0,0,0,0,0,0,0,0,0,0,-1
33787,2435,13638,18387,8290,4857,518,5490,0,676,0,516,0,253,0,0,0,0,255,0,0,0,0,-1
1472,4711,16305,49491,27787,2826,969,10540,716,2307,0,511,390,0,0,0,0,0,0,0,0,0,410,-1
716,10568,48521,41889,18050,7297,9285,25023,1167,3297,3026,0,0,1240,0,0,0,0,0,0,0,0,0,-1
394,2607,47313,43084,5597,3946,1029,4441,0,811,0,825,737,0,0,0,0,0,0,0,0,0,0,-1
4825,10527,36671,46397,55349,7506,2212,16390,1339,2624,2158,1249,0,939,0,0,0,0,0,0,0,0,0,-1
254,1668,16202,14427,5861,3231,550,7055,557,1508,0,0,0,455,0,0,0,0,0,0,0,0,0,-1
470,4951,42237,29612,9638,3999,1359,9030,653,2284,0,710,1379,448,0,0,0,0,0,0,0,0,0,-1
671,3535,36318,20344,10124,6063,1422,11962,851,1201,0,1770,0,597,0,0,0,0,0,0,0,0,0,-1
146,3779,33174,33978,8156,3074,2004,13247,0,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
1195,36139,150398,118713,176121,19564,4073,27224,3918,7272,0,2393,1059,1153,0,809,1687,788,1128,0,727,0,0,-6
3131,21077,8751,65889,86054,5150,0,61076,0,3610,0,0,0,0,0,0,0,0,0,0,0,0,0,7440
3131,21077,8751,65889,86054,5150,0,61076,0,3610,0,0,0,0,0,0,0,0,0,0,0,0,0,7440
